"BLIK via Dotpay","BLIK via Dotpay"
"Card payments","Kaartbetalingen"
"One Click card payments","Betaling met één klik"
"Credit card via Dotpay","Betaalkaarten door Dotpay"
"Masterpass via Dotpay","Masterpass via Dotpay"
"Credit card (One Click) via Dotpay","Betalingen met één klik door Dotpay"
"PayPal via Dotpay","PayPal via Dotpay"
"Dotpay payment channels","Dotpay betalingskanalen"
"Unrecognized payment method. Please, try again.","Betaalmethode niet herkend. Probeer het a.u.b. opnieuw."
"Do you want to deregister a saved card","Wilt u de opgeslagen kaart afmelden?"
"The card was deregistered from the shop","De laatste versie is"
"An error occurred while deregistering the card","Er is een fout opgetreden bij het verwijderen van de kaart"
"You have to be logged to see your saved credit cards.","U moet ingelogd zijn om uw opgeslagen betaalkaarten te zien."
"Requested card doesn't exist.","De gevraagde kaart bestaat niet."
"You have to be logged to delete your saved credit card.","U moet ingelogd zijn om uw opgeslagen betaalkaart te verwijderen."
"The payment has not been found. Please contact to the seller.","De betaling is niet gevonden. Neem dan contact op met de verkoper."
"Payment has started. Payment number from Dotpay:","De betaling is begonnen. Dotpay-betalingsnummer:"
"The payment is confirmed. Payment number from Dotpay:","De betaling is bevestigd. Dotpay-betalingsnummer:"
"The payment is rejected. Payment number from Dotpay:","De betaling is geweigerd. Dotpay-betalingsnummer:"
"Instruction of payment completion for the order doesn't exist","Er is geen instructie om de betaling voor deze bestelling te voltooien"
"Order is not found","De bestelling is niet gevonden"
"Payment is not found","De betaling is niet gevonden"
"Payment has been finished successfully.","De betaling is succesvol afgerond."
"Order ID: %1","Bestelnr.:% 1"
"--Please Select--","- Selecteer alstublieft—"
"Dotpay payment pending","Dotpay is in afwachting van betaling"
"Dotpay payment complete","Dotpay-betaling bevestigd"
"Dotpay payment canceled","Dotpay-betaling mislukt"
"Module update","Updaten van de module"
"Version of your Dotpay payment module is","De versie van uw Dotpay-betalingsmodule is"
"The newest version is","De betaling is meer dan eens bevestigd - controleer of er een dubbele betaling was voor deze bestelling"
"You can download the latest version from this link","U kunt op dit adres de laatste versie downloaden"
"DOWNLOAD","DOWNLOADEN"
"More details about the newest version","Meer informatie over de laatste versie"
"DETAILS","BIJZONDERHEDEN"
"Version information","Versie-informatie"
"Congratulations ! Your Dotpay payment module is up to date.","Gefeliciteerd! Uw Dotpay-betalingsmodule is up-to-date."
"Version of the module is","De moduleversie is"
