"Card payments","Pagamentos com cartão"
"Credit card via Dotpay","Cartão de crédito via Dotpay"
"The payment has not been found. Please contact to the seller.","O pagamento não foi encontrado. Entre em contato com o vendedor."
"Payment is not found","Pagamento não encontrado"
"Payment has been finished successfully.","O pagamento foi finalizado com sucesso."
"Order ID: %1","ID do pedido: %1"
"Waiting for confirmation...","Aguardando confirmação ...."
"Order was not found.","O pedido não foi encontrado."
"You have came back to the shop site.","Você voltou ao site da loja."
"Status of the order","Status do pedido"
"Time intended for waiting for payment confirmation has elapsed. When transaction will be confirmed we will notify you on email. If payment will not be confirmed, please contact with shop owner and give him the order number:","O tempo previsto para aguardar a confirmação do pagamento já passou. Quando a transação for confirmada, iremos notificá-lo por e-mail. Se o pagamento não for confirmado, entre em contato com o dono da loja e forneça o número do pedido:"
"Waiting for confirm your payment...","Aguardando confirmação do seu pagamento ..."
"It make take up to 2 minutes.","Pode demorar até 2 minutos."
"Thank you! The process of payment completed correctly. In a moment you will be able to check the status of your order.","Obrigado! O processo de pagamento foi concluído corretamente. Em um momento você poderá verificar o status do seu pedido."
"Payment was rejected.","O pagamento foi rejeitado."
"You can try to pay for your order again by changing the payment method or contact the seller.","Você pode tentar pagar o seu pedido novamente alterando a forma de pagamento ou entre em contato com o vendedor."
"Warning!","Aviso!"
"Payment for this order have already registered. If you bank account has been charged, please contact to seller and give him a name of the order:","O pagamento para este pedido já foi registrado. Se sua conta bancária foi cobrada, entre em contato com o vendedor e forneça a ele o nome do pedido:"
"Pay with Dotpay","Pague com Dotpay"
"Acceptance Mark","Marca de Aceitação"
"Pay using","Pague usando"
